sample_id,source,longitude,latitude
68L-215,NAVDAT,-107.494,35.1193
68L-215,NAVDAT,-107.494,35.1193
68L-215,NAVDAT,-107.494,35.1193
68L-202-C,NAVDAT,-107.501,35.1717
68L-202-C,NAVDAT,-107.501,35.1717
68L-202-C,NAVDAT,-107.501,35.1717
68L-202-C,NAVDAT,-107.501,35.1717
68L-201-C,NAVDAT,-107.466,35.2205
68L-201-C,NAVDAT,-107.466,35.2205
68L-201-C,NAVDAT,-107.466,35.2205
68L-7-B,NAVDAT,-107.415,35.1186
68L-7-B,NAVDAT,-107.415,35.1186
68L-7-B,NAVDAT,-107.415,35.1186
68L-7-C,NAVDAT,-107.415,35.1186
68L-7-C,NAVDAT,-107.415,35.1186
68L-7-C,NAVDAT,-107.415,35.1186
68L-201-A,NAVDAT,-107.466,35.2205
68L-201-A,NAVDAT,-107.466,35.2205
68L-201-A,NAVDAT,-107.466,35.2205
68L-201-B,NAVDAT,-107.466,35.2205
68L-201-B,NAVDAT,-107.466,35.2205
68L-201-B,NAVDAT,-107.466,35.2205
68L-201-B,NAVDAT,-107.466,35.2205
68L-205,NAVDAT,-107.762,35.1843
68L-205,NAVDAT,-107.762,35.1843
68L-205,NAVDAT,-107.762,35.1843
68L-202-A,NAVDAT,-107.501,35.1717
68L-202-A,NAVDAT,-107.501,35.1717
68L-202-A,NAVDAT,-107.501,35.1717
68L-202-B,NAVDAT,-107.501,35.1717
68L-202-B,NAVDAT,-107.501,35.1717
68L-202-B,NAVDAT,-107.501,35.1717
68L-202-B,NAVDAT,-107.501,35.1717
68L-217,NAVDAT,-107.422,35.139
68L-217,NAVDAT,-107.422,35.139
68L-217,NAVDAT,-107.422,35.139
68L-216-A,NAVDAT,-107.427,35.1157
68L-216-A,NAVDAT,-107.427,35.1157
68L-216-A,NAVDAT,-107.427,35.1157
68L-216-B,NAVDAT,-107.427,35.1157
68L-216-B,NAVDAT,-107.427,35.1157
68L-216-B,NAVDAT,-107.427,35.1157
68L-218,NAVDAT,-107.309,35.0191
68L-218,NAVDAT,-107.309,35.0191
68L-218,NAVDAT,-107.309,35.0191
68L-218,NAVDAT,-107.309,35.0191
68L-213,NAVDAT,-107.818,35.1318
68L-213,NAVDAT,-107.818,35.1318
68L-213,NAVDAT,-107.818,35.1318
68L-207,NAVDAT,-107.972,35.2662

